GLOBAL_TWITCH,GLOBAL_FFZ,GLOBAL_7TV,GLOBAL_BTTV
PMSTwin,,,
ShazBotstix,,,
BibleThump,,,
AsianGlow,,,
DBstyle,,,
BloodTrail,,,
OneHand,,,
FrankerZ,,,
SMOrc,,,
ArsonNoSexy,,,
PunchTrees,,,
SSSsss,,,
Kreygasm,,,
KevinTurtle,,,
PJSalt,,,
SwiftRage,,,
DansGame,,,
GingerPower,,,
BCWarrior,,,
MrDestructoid,,,
JonCarnage,,,
Kappa,,,
RedCoat,,,
TheRinger,,,
StoneLightning,,,
OptimizePrime,,,
JKanStyle,,,
R),,,
;P,,,
:P,,,
;),,,
:/,,,
<3,,,
:O,,,
B),,,
O_o,,,
:|,,,
>(,,,
:D,,,
:(,,,
:),,,
